web-scraper-order,web-scraper-start-url,cat,cat-href,title,title-href,info
"1520657038-360","http://www.cookbooks.com/","Nuts","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=nut","1. CHOCOLATE PUMPKIN NUT BREAD","http://www.cookbooks.com/Recipe-Details.aspx?id=51","<p class=""H2""><font size=""5"">CHOCOLATE PUMPKIN NUT BREAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 2/3  c. flour<br>1  Tbsp. pumpkin pie spice<br>1  tsp. baking soda<br>3/4  tsp. salt<br>1/4  tsp. baking powder<br>1 1/2  c. sugar<br>1/2  c. oil<br>2  eggs<br>1  c. canned pumpkin<br>1  c. chocolate chips<br>1/2  c. toasted almonds<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix flour, spice, soda, salt and baking powder.  Beat sugar, oil and eggs in a large bowl.  Beat in pumpkin and 1/3 cup water. Stir in flour mixture, then chocolate chips and nuts.  Scrape into greased 9 x 5 x 3-inch loaf pan.  Bake at 350° for about 70 minutes or until toothpick inserted in center comes out clean.  Cool in pan for 15 minutes.  Turn out on wire rack and cool completely. Freezes well.</p></td></tr></tbody></table>"
"1520657569-596","http://www.cookbooks.com/","Healthy","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Healthy&strSearch=Healthy%20Lite","11. ""LITE"" CREAMED POTATOES","http://www.cookbooks.com/Recipe-Details.aspx?id=188627","<p class=""H2""><font size=""5"">""LITE"" CREAMED POTATOES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  medium potatoes, peeled and chunked<br>1/3  c. water<br>  salt<br>1/4 to 1/3  c. fat-free Ranch dressing (bottled)<br>  liquid from potatoes as needed<br>  Molly McButter as needed<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Steam (covered) boil potatoes in small amount of salted water. (A chicken bouillon cube can be substituted for salt.)  When tender, drain, retaining liquid.  Add Ranch dressing (more or less as needed) and beat potatoes with electric mixer.  If needed, add small amounts of retained liquid (or skim milk if desired) until of desired consistency.  Add butter sprinkles to taste.</p></td></tr></tbody></table>"
"1520657518-574","http://www.cookbooks.com/","Grilling","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=grill","3. GRILLED STEAK WITH MUSTARD MARINADE","http://www.cookbooks.com/Recipe-Details.aspx?id=608","<p class=""H2""><font size=""5"">GRILLED STEAK WITH MUSTARD MARINADE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/grilled-steak.jpg"" alt=""GRILLED STEAK WITH MUSTARD MARINADE"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  lb. lean flank steak, well trimmed<br>1/4  c. grainy-style Dijon mustard<br>2  Tbsp. lime juice<br>1 1/2  Tbsp. reduced-sodium soy sauce<br>1  Tbsp. hoisin sauce<br>1  tsp. Worcestershire sauce<br>1  tsp. finely minced garlic<br>1  tsp. finely minced fresh ginger<br>  freshly ground pepper to taste<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Place the steak in a large glass or ceramic dish.  In a medium bowl, whisk the remaining ingredients together.  Pour over the meat; coat both sides.  Cover and allow to marinate at room temperature for 1 hour or in the refrigerator for 2 to 3 hours. Preheat an outdoor grill or a broiler.  Remove the steak from the marinade and grill for 5 minutes on each side or until cooked to the desired doneness, basting occasionally with the marinade. Serve immediately, sliced on the bias.  Serves 8.</p></td></tr></tbody></table>"
"1520657235-448","http://www.cookbooks.com/","Chicken","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=chicken","3. SAVORY CHICKEN AND DUMPLINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=337","<p class=""H2""><font size=""5"">SAVORY CHICKEN AND DUMPLINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. cooked chicken<br>1  can cream of chicken soup<br>1  c. chicken broth<br>1  c. frozen peas and carrots<br>2  stems celery, cut<br>2  Tbsp. dried minced onion<br>1/4  tsp. summer savory<br>1/8  tsp. pepper<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine  ingredients  in large saucepan. Cover and cook for 5 minutes.</p></td></tr></tbody></table><p class=""H3""><strong>Dumplings:</strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  c. biscuit mix<br>1/3  c. milk<br>1/8  tsp. savory<br>1/8  tsp. sage<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine biscuit mix, milk and herbs.  Stir lightly with fork and drop by spoonfuls onto chicken mixture.  Cook, uncovered, 10 minutes.  Cover and cook for 10 minutes more.  Serves 4 to 6.</p><p class=""H1"">      Per Serving:  204 Calories, 7 g. Fat (33%), 26 mg.  Cholesterol and 911 mg.  Sodium.</p></td></tr></tbody></table>"
"1520657458-547","http://www.cookbooks.com/","Cake","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Cake","4. CHOCOLATE CHERRY JUBILEE CAKE","http://www.cookbooks.com/Recipe-Details.aspx?id=11","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1520657254-456","http://www.cookbooks.com/","Beef","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Beef","10. CHUNKY BARBECUE BEEF","http://www.cookbooks.com/Recipe-Details.aspx?id=1125","<p class=""H2""><font size=""5"">CHUNKY BARBECUE BEEF</font><br><span class=""H2""><font size=""4""><i>(Serves 8)  </i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 3/4  lb. lean beef, cubed<br>1 1/2  oz. pkg. dry onion soup mix<br>2 1/2  c. tomato juice<br>1/2  c. water<br>1/2  c. catsup<br>  salt and pepper to taste<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Brown meat in skillet sprayed with vegetable pan spray.  Add remaining ingredients; mix.  Place in 2-quart casserole dish; cover.  Bake at 325° for 2 hours, adding water if necessary.  Serve over rice, noodles or potatoes.</p><p class=""H1"">      Exchanges:  3 lean meat, 1/2 vegetable, 1/2 bread, 1/2 fat. (One-half cup serving of rice, noodles or potatoes equals 1 bread.)</p></td></tr></tbody></table>"
"1520657050-365","http://www.cookbooks.com/","Dips","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=dips","11. SESAME TURKEY WITH HONEY DIP","http://www.cookbooks.com/Recipe-Details.aspx?id=831","<p class=""H1"">Could NOT Open Recipe Page Due To:</p>Conversion from type 'DBNull' to type 'String' is not valid."
"1520657330-490","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","6. CORN TIMBALES","http://www.cookbooks.com/Recipe-Details.aspx?id=362","<p class=""H2""><font size=""5"">CORN TIMBALES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  slightly beaten eggs<br>1  c. skim milk<br>1/4  tsp. salt<br>1/8  tsp. pepper<br>1 (12 oz.)  can whole kernel corn, drained (can use 1/2 c. of another cooked or canned vegetable)<br>1/4  c. sliced green onions<br>2  Tbsp. fine dry bread crumbs<br>2  Tbsp. grated Parmesan cheese<br>2  tsp. margarine, melted<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      In a medium mixing bowl, stir together eggs, milk, salt and pepper.  Stir in corn and green onions (may set aside some corn and green onions for garnish).  Spray 2 (12-ounce) casseroles with nonstick coating.  Divide egg mixture between the two.  Bake, uncovered, at 325° for 25 minutes.</p><p class=""H1"">      Stir together bread crumbs, Parmesan cheese and margarine.  Put on top of baked casseroles.  Put back in oven for 15 minutes more or until a knife inserted near the center comes out clean.  Garnish with reserved corn and onions.  Makes 2 servings.</p><p class=""H1"">      Per Serving:  348 Calories, 14 g. Fat, 282 mg.  Cholesterol and 628 mg.  Sodium.</p></td></tr></tbody></table>"
"1520657382-513","http://www.cookbooks.com/","Salad","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Salad","8. ROMAINE-VEGETABLE SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=332","<p class=""H2""><font size=""5"">ROMAINE-VEGETABLE SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><table width=""100%"" border=""0"" cellspacing=""2"" cellpending=""5""><tbody><tr><td valign=""top""><p class=""H2""><img src=""images-new/recipe-categories/broccoli-salad.jpg"" alt=""ROMAINE-VEGETABLE SALAD"" border=""0"" width=""200""></p></td><td valign=""middle""><p class=""H1""></p></td></tr></tbody></table><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1/2  small head romaine lettuce<br>2  stalks celery, thinly sliced<br>1 (16 oz.)  pkg. loose-pack frozen broccoli, red peppers, bamboo shoots and straw mushrooms<br>2  Tbsp. water<br>1  Tbsp. white wine vinegar<br>1  Tbsp. cooking oil<br>2  tsp. soy sauce<br>1/4  tsp. five-spice powder<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Dressing:  Mix vinegar, oil, soy sauce and five-spice powder in a custard cup or small bowl; set aside.</p><p class=""H1"">      Clean and tear romaine into bite-size pieces (makes about 3 cups).  In a 12-inch skillet combine frozen vegetables and water. Cook over medium-high heat for 3 to 4 minutes or until thawed and just heated through, stirring occasionally.  Reduce heat to medium. Stir in dressing and add romaine and celery.  Carefully toss about 30 seconds or until romaine begins to wilt.  Makes 6 servings.</p><p class=""H1"">      To Serve:  Immediately spoon romaine mixture onto salad plates.</p><p class=""H1"">      Per Serving:  49 Calories, 2 g. Fat, 0 mg.  Cholesterol and 149 mg.  Sodium.</p></td></tr></tbody></table>"
"1520657184-425","http://www.cookbooks.com/","Fish","http://www.cookbooks.com/recipes-search.aspx?id=1&tag=Fish","11. BEER FISH BATTER","http://www.cookbooks.com/Recipe-Details.aspx?id=876","<p class=""H2""><font size=""5"">BEER FISH BATTER</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  c. flour<br>1  c. Italian bread crumbs<br>3  eggs<br>3  tsp. baking powder<br>1  tsp. lemon pepper seasoning<br>1  can stale or flat beer<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine all ingredients.  If batter is too thick, use water to thin.  Dip fish in batter and deep fry in hot oil.  Delicious with all vegetables:  broccoli, peppers, parsley, mushrooms, onions, etc.</p></td></tr></tbody></table>"
