web-scraper-order,web-scraper-start-url,veg,veg-href,page,page-href,title,title-href,info
"1520704884-566","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","3","http://www.cookbooks.com/recipes-search.aspx?page=3","43. EGGPLANT PARMESAN SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=974","<p class=""H2""><font size=""5"">EGGPLANT PARMESAN SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  Tbsp. olive oil<br>1/2  stick margarine or butter<br>1  medium onion, chopped coarsely<br>1  tsp. minced garlic<br>2  medium-size eggplants, firm<br>2 (28 oz.)  cans crushed tomatoes (with added puree)<br>1  tsp. basil<br>1  tsp. oregano<br>1 1/4  c. Parmesan cheese, grated<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Sauté in soup pot in olive oil and margarine or butter the onion and garlic.  Skin and cube eggplants; add to onion and garlic; sauté for 3 minutes, stirring often.  Then just cover mixture with water; let cook until eggplants are tender.  Add crushed tomatoes, basil and oregano; puree entire mixture in blender.  Return everything to soup pot; add Parmesan cheese. Adjust consistency of soup with added water, if needed.  It should be neither thin nor thick; cook over low heat for 1 hour, covered. Garnish with additional Parmesan cheese and parsley at table.</p><p class=""H1"">      Note:  Best if made 8 hours in advance.</p></td></tr></tbody></table>"
"1520704316-331","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","19","http://www.cookbooks.com/recipes-search.aspx?page=19","279. HOT POTATO SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4638","<p class=""H2""><font size=""5"">HOT POTATO SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">6  medium potatoes, cooked in skins<br>3  hard boiled eggs<br>6  slices of bacon<br>3/4  c onions, chopped<br>1/4  c green peppers, chopped<br>2  Tbsp flour<br>2  tsp sugar<br>1/2  tsp salt<br>  dash of pepper<br>1/2  tsp celery seed<br>3/4  c water<br>1/2  c vinegar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Peel potatoes and slice thin. Fry bacon until crisp. Drain on paper towel. Sauté onions and pepper in bacon grease until brown. Add flour and mix well. Add sugar, salt, celery seed and black pepper. Cook over low heat stirring until smooth and bubbly. Remove from heat. Stir in water and vinegar. Heat to boiling. Cook 1 minute.  Add potatoes, eggs and crumbled bacon.</p></td></tr></tbody></table>"
"1520704642-460","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","10","http://www.cookbooks.com/recipes-search.aspx?page=10","149. SOUTH OF THE BORDER BLACK-EYED PEAS","http://www.cookbooks.com/Recipe-Details.aspx?id=1963","<p class=""H2""><font size=""5"">SOUTH OF THE BORDER BLACK-EYED PEAS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  lb. dried black-eyed peas<br>5  c. water<br>1/4  lb. smoked ham hock<br>1  fresh jalapeno pepper, split<br>3  Tbsp. onion soup mix<br>2  tsp. chili powder<br>1  tsp. salt<br>1/2  tsp. pepper<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Sort and wash peas; place in large pot.  Cover with 2-inches water above peas (let soak overnight).  Drain peas.  Add 5 cups water and remaining ingredients.  Bring to boil.  Cover; reduce heat and simmer 1 hour or until tender.</p></td></tr></tbody></table>"
"1520704398-368","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","17","http://www.cookbooks.com/recipes-search.aspx?page=17","242. ONION SOUFFLE","http://www.cookbooks.com/Recipe-Details.aspx?id=3410","<p class=""H2""><font size=""5"">ONION SOUFFLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 (12 oz.)  pkg. frozen, chopped onions<br>3  (8 oz.) pkgs. of cream cheese, softened<br>2   c. grated parmesan cheese<br>1/2  c. mayonnaise<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Defrost onions and squeeze liquid out.  Mix all ingredients well.  Bake, uncovered, in 2 qt. casserole dish for 15 minutes at 425°.  Serve with corn chips (Scoops are best for dipping), Triscuits or Melba rounds.</p></td></tr></tbody></table>"
"1520704702-487","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","9","http://www.cookbooks.com/recipes-search.aspx?page=9","122. ZUCCHINI A LA GRILL","http://www.cookbooks.com/Recipe-Details.aspx?id=1504","<p class=""H2""><font size=""5"">ZUCCHINI A LA GRILL</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  small zucchini (about 6 inches long)<br>1/4  c. olive oil<br>2  Tbsp. vinegar<br>1  Tbsp. fresh oregano or 1 tsp. dried oregano<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Slice zucchini lengthwise into slices 1/4-inch thick.  Mix remaining ingredients and brush on zucchini slices.  Grill over hot coals until they begin to brown and soften.  Serves 4 to 6.</p></td></tr></tbody></table>"
"1520704863-557","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","4","http://www.cookbooks.com/recipes-search.aspx?page=4","52. SWEET POTATO PINEAPPLE RINGS","http://www.cookbooks.com/Recipe-Details.aspx?id=1142","<p class=""H2""><font size=""5"">SWEET POTATO PINEAPPLE RINGS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2  c. cooked mashed sweet potatoes (plain)<br>2  packs Sweet 'N Low<br>1/4  c. butter, melted<br>1/2  c. orange juice<br>1  tsp. pumpkin pie spice<br>1  tsp. orange peel<br>1/4  c. chopped pecans<br>1/2  c. raisins<br>1 (No. 2)  can sliced pineapple in own juice<br>  miniature marshmallows<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Combine sweet potatoes, Sweet 'N Low, butter, orange juice with pumpkin pie spice, orange peel, pecans and raisins.  Mix well. Drain pineapple slices and place in baking dish.  Mound 1/3 cup of sweet potato mixture on each pineapple top.  Bake at 375° for 20 minutes.  Top with marshmallows and bake 5 minutes longer.  Makes 10 servings.</p></td></tr></tbody></table>"
"1520704458-378","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","16","http://www.cookbooks.com/recipes-search.aspx?page=16","231. SPINACH ROLLS","http://www.cookbooks.com/Recipe-Details.aspx?id=2920","<p class=""H2""><font size=""5"">SPINACH ROLLS</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  (8 oz.) Philadelphia cream cheese<br>1  (8 oz.) sour cheese<br>1 (10 oz.)  box chopped spinach, chopped finely<br>2  Tbsp. Miracle Whip<br>1 small  bottle bacon bits<br>1  pkg. tortilla shells (flour)<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix all the ingredients together in a large bowl.  Then spread over the tortilla shells.  Then roll each shell, then refrigerate for 2 to 3 hours.  Then slice each roll into moderate sizes.  Then serve on a platter.</p></td></tr></tbody></table>"
"1520704712-491","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","8","http://www.cookbooks.com/recipes-search.aspx?page=8","118. GRILLED TOMATO HALVES","http://www.cookbooks.com/Recipe-Details.aspx?id=1500","<p class=""H2""><font size=""5"">GRILLED TOMATO HALVES</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">4  large firm tomatoes<br>1/4  c. butter or margarine, melted<br>1/4  c. dry bread crumbs<br>1/4  c. wheat germ<br>1/4  c. Parmesan cheese<br>1/2  tsp. marjoram<br>1/4  tsp. seasoned salt<br>1/8  tsp. coarsely ground pepper<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Cut tomatoes in half and place in shallow pan, cut side up. Combine remaining ingredients well and spread on tomatoes.  Bake in a 450° oven 8 to 10 minutes or until tops are lightly browned.</p></td></tr></tbody></table>"
"1520704898-573","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","3","http://www.cookbooks.com/recipes-search.aspx?page=3","36. WINE SOUP","http://www.cookbooks.com/Recipe-Details.aspx?id=964","<p class=""H2""><font size=""5"">WINE SOUP</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1  qt. red or white wine*<br>2  c. water<br>1  stick cinnamon<br>4  whole cloves<br>5  egg yolks<br>5  tsp. sugar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Bring the wine, water and spices to boil.  Strain.  Beat the egg yolks with sugar until lemon colored and slowly add the hot wine mixture, beating constantly until a thick foam forms at the top.  Be careful not to curdle the yolks.  Serve with wafers.</p><p class=""H1"">      *If you use red wine, do not use egg yolks.  Cover 1/2 cup Sago with 2 quarts boiling water and cook for 20 minutes, stirring well. When tender, add grated lemon rind, 4 whole cloves and 1/4 teaspoon cinnamon to the wine and boil for a moment.  Strain and add to the Sago.  Serve in a tureen, passing sugar, cinnamon and grated lemon rind in a sauce bowl.</p></td></tr></tbody></table>"
"1520704296-323","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","20","http://www.cookbooks.com/recipes-search.aspx?page=20","287. BROCCOLI SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4830","<p class=""H2""><font size=""5"">BROCCOLI SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">2 large  bunches broccoli (use flowerets portion only)<br>1  small onion, chopped<br>1  c. sunflower seeds<br>1  c. raisins<br>1  lb. bacon, cooked and crumbled<br>  celery, green pepper, grated carrots, bean sprouts (optional items that can be added)<br>1  c. Miracle Whip<br>1/2  c. sugar<br>2  Tbsp. apple cider vinegar<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Mix Miracle Whip, sugar and vinegar well and pour over vegetables. Mix until well coated.  Refrigerate.  Increase or decrease dressing according to amount of vegetables.</p></td></tr></tbody></table>"
"1520704865-558","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","4","http://www.cookbooks.com/recipes-search.aspx?page=4","51. LAYERED CASSEROLE","http://www.cookbooks.com/Recipe-Details.aspx?id=1109","<p class=""H2""><font size=""5"">LAYERED CASSEROLE</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">1 1/2  lb. ground beef<br>1  c. sliced onion<br>1  c. chopped green pepper<br>2  tsp. salt<br>1  large potato, peeled and sliced<br>1  c. sliced carrots<br>1/3  c. rice, uncooked<br>28  oz. can tomatoes, mashed<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Sauté beef, onion and pepper.  Drain fat and add salt.  Place potato in bottom of baking dish.  Alternate layers of carrots, rice and meat.  Pour the tomatoes all over casserole.  Cover and bake for 2 hours at 350°.</p><p class=""H1"">      One cup per serving; 2 meat exchanges, 1 vegetable exchange, 1 bread exchange and 1/2 fat exchange.  Contains 261 calories.</p></td></tr></tbody></table>"
"1520704311-329","http://www.cookbooks.com/","Vegetable","http://www.cookbooks.com/recipes-search.aspx?cid=1004&tag=Vegetable","19","http://www.cookbooks.com/recipes-search.aspx?page=19","281. BROCCOLI SALAD","http://www.cookbooks.com/Recipe-Details.aspx?id=4679","<p class=""H2""><font size=""5"">BROCCOLI SALAD</font><br><span class=""H2""><font size=""4""><i></i></font></span><br></p><hr><p class=""H3""><strong></strong></p><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">ingredients</span><br><p class=""H1"">  broccoli<br>  about 1/2 c. milk<br>  about 1/2 c. Miracle Whip<br>1/2  c. sugar<br>  bacon, fried crisp, cooled and crumbled<br>1  onion, chopped pretty fine<br></p></td></tr></tbody></table><table width=""100%"" border=""1px"" cellspacing=""0"" cellpadding=""10""><tbody><tr><td><span class=""H2"">preparation</span><br><p class=""H1"">      Clean and chunk up broccoli.  Mix milk, Miracle Whip and sugar.  Always equal parts of these, whipped.  Combine all ingredients.  Chill and serve.</p></td></tr></tbody></table>"
